City_ID,Name,Year,Month,Month created (num),County,Acres burned,Duration (days),Lat,Lon
1180,Scott Fire,2019,June,6,Yuba,80.0,0.0,39.24678,-121.32399
1181,York Fire,2019,April,4,Kings,161.0,57.0,35.81778,-120.09715
1182,Cana Fire,2019,April,4,Butte,10.0,8.0,39.83958,-121.957
1183,Woody Fire,2019,April,4,Kern,115.0,8.0,35.65189,-118.92545
1184,Meridian Fire,2019,May,5,Butte,50.0,7.0,39.85484,-121.905
1185,Vulcan Fire,2019,May,5,Kern,172.0,5.0,35.03855,-119.19454
1186,Refuge Fire,2019,May,5,Kern,2500.0,2.0,35.72057,-119.62762
1187,Sugar Fire,2019,May,5,Placer,65.0,14.0,39.11536,-120.76088
1188,Border Fire,2019,May,5,San Diego,22.0,6.0,32.557566,-116.8663
1189,Shady Fire,2019,May,5,Riverside,130.0,6.0,33.650237,-116.172534
1190,Paskenta Fire,2019,May,5,Tehama,63.0,4.0,39.98097,-122.30737
1191,Foothill Fire,2019,May,5,Riverside,26.0,4.0,33.81678,-117.18194
